Repository Name,ID,GUID
Red Hat Enterprise Linux 7 Server - Extras RPMs x86_64,4,0fc092c8-0040-460e-a338-0f85f49a259b
Red Hat Ansible Engine 2.9 RPMs for Red Hat Enterprise Linux 7 Server x86_64,25,2be8e514-a786-4c13-a611-b0a6868397a9
Red Hat Enterprise Linux 7 Server Kickstart x86_64 7.9,12,6823aa52-f63e-47a7-a2f4-9a026349f717
Red Hat Enterprise Linux 7 Server - Optional RPMs x86_64 7.4,2,61580367-e859-4ed9-9a22-48a4234d3cfc
Red Hat Enterprise Linux 7 Server - Optional RPMs x86_64 7.6,1,5045cb95-6912-4229-a780-0497a1833d09
Red Hat Enterprise Linux 7 Server - Optional RPMs x86_64 7.9,3,71301476-7358-48b1-96cd-b6f72b237c54
Red Hat Enterprise Linux 7 Server RPMs x86_64 7.4,7,75a772f2-8d68-4f24-b702-a6711d5d2cd4
Red Hat Enterprise Linux 7 Server RPMs x86_64 7.6,6,cce378c1-7560-4874-ac08-fbff75700a38
Red Hat Enterprise Linux 7 Server RPMs x86_64 7.9,5,2a60f69d-c883-4853-8fe3-ea2768eb8935
Red Hat Satellite Tools 6.8 for RHEL 7 Server RPMs x86_64,8,6368a922-882e-40d4-93d0-871cdda74985
Red Hat Software Collections RPMs for Red Hat Enterprise Linux 7 Server x86_64 7.9,9,a0fcdef1-417c-470c-ac98-bf6d39fd07ff
